Name,OfficialName,Registry,CountryofOperator,Operator,Users,Purpose,DetailedPurpose,ClassofOrbit,TypeofOrbit,DateofLaunch,ExpectedLifetime
ANDESITE Mule (Ad-Hoc Network Demonstration for Extended Satellite-Based Inquiry and Other Team Endeavors),ANDESITE Mule,USA,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,,LEO,Sun-Synchronous,6/13/2020,
ANGELS (Argos Neo on a Generic Economical and Light Satellite),ANGELS,France,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,,LEO,Sun-Synchronous,12/18/2019,
Anik F1,Anik F1,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,11/21/2000,15
Anik F1R,Anik F1R,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,9/9/2005,15
Anik F2,Anik F2,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,7/18/2004,15
Anik F3,Anik F3,Canada,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,4/9/2007,15
Anik G1,Anik G1,NR,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,,GEO,,4/15/2013,15
Aoba-VELOX 4,Aoba-VELOX 4,NR,Japan,Kyushu Institute of Technology (KIT),Civil,Technology Development,,LEO,Sun-Synchronous,1/18/2019,
AprizeSat 1 (LatinSat-C),AprizeSat 1,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,6/29/2004,
AprizeSat 10 (exactView-13),AprizeSat 10,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,6/19/2014,
AprizeSat 2 (LatinSat-D),AprizeSat 2,USA,Argentina,Aprize Satellite Argentina,Commercial,Communications/Technology Development,,LEO,Sun-Synchronous,6/29/2004,
AprizeSat 3,AprizeSat 3,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,7/29/2009,
AprizeSat 4,AprizeSat 4,USA,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,7/29/2009,
AprizeSat 5,AprizeSat 5,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,8/17/2011,
AprizeSat 7,AprizeSat 7,USA,Canada,Aprize Satellite,Commercial,Communications,Automatic Identification System (AIS),LEO,Sun-Synchronous,11/21/2013,
AprizeSat 8 (exactView-12),AprizeSat 8,NR,USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,11/21/2013,
AprizeSat 9 (exactView-11),AprizeSat 9,NR,Canada,exactEarth,Commercial,Communications/Maritime Tracking,Automatic Identification System (AIS),LEO,Sun-Synchronous,6/19/2014,
Apstar 6,Apstar 6,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,4/12/2005,
Apstar 6C,Apstar 6C,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,5/3/2018,15
Apstar 6D,Apstar 6D,NR (7/20),China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,7/9/2020,15
Apstar 7,Apstar 7,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,3/31/2012,15
Apstar 9,Apstar 9,China,China,APT Satellite Holdings Ltd.,Commercial,Communications,,GEO,,10/16/2015,15
Arabsat 5C,Arabsat 5C,NR,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,,GEO,,9/21/2011,15
Arabsat 6A,Arabsat 6A,NR,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,4/11/2019,15
Arabsat 7F (Nimiq 1),Arabsat 7F,Canada,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,,GEO,,5/20/1999,12
Arkyd-6A,Arkyd-6A,USA,USA,Planetary Resources,Commercial,Technology Development,,LEO,Sun-Synchronous,1/11/2018,
ARMADILLO (Attitude Related Maneuvers and Debris Instrument in Low (L) Orbit),ARMADILLO,USA,USA,Satellite Design Laboratory UT Austin/Baylor University,Civil,Technology Development,,Elliptical,,6/25/2019,
ArSat 1,ArSat 1,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,10/16/2014,15
ArSat 2,ArSat 2,Argentina,Argentina,ArSat,Commercial,Communications,,GEO,,9/30/2015,15
AsiaSat-3S (Asiasat 3SA),AsiaSat-3S,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,3/21/1999,15
AsiaSat-5,AsiaSat-5,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,8/11/2009,15
AsiaSat-6 (Thaicom-7),AsiaSat-6,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,9/7/2014,15
AsiaSat-7,AsiaSat-7,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,11/25/2011,15
AsiaSat-8,AsiaSat-8,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,8/5/2014,15
AsiaSat-9,AsiaSat-9,China,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,,GEO,,9/28/2017,15
AsiaStar ,AsiaStar,USA,USA,1Worldspace,Commercial,Communications,,GEO,,3/21/2000,15
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),ASNARO-1,Japan,Japan,Japan Space Systems,Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,11/6/2014,3
ASNARO 2 (Advanced Satellite with New system Architecture for Observation),ASNARO-2,Japan,Japan,Japan Space Systems,Government,Earth Observation,Radar Imaging,LEO,Sun-Synchronous,1/17/2018,3
Astra 1D,Astra 1D,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,11/1/1994,15
Astra 1F,Astra 1F,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,4/18/1996,15
Astra 1G,Astra 1G,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,12/2/1997,15
Astra 1KR,Astra 1KR,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,4/20/2006,15
Astra 1L,Astra 1L,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,5/4/2007,15
Astra 1M,Astra 1M,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,11/5/2008,15
Astra 1N,Astra 1N,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,8/6/2011,15
Astra 2A,Astra 2A,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,8/30/1998,15
Astra 2B,Astra 2B,Luxembourg,Luxembourg,SES S.A.,Commercial,Communications,,GEO,,9/14/2000,14
